Tilda UID,Title,Price,City,Category,Link,dates
869218383831,Куала Лумпур 2 дня,77300,Паттайя;Пхукет,,https://ezyvizit.com/kuala-lumpur-2-day,"пн,вт,ср,чт,пт,сб,вс"
253072057121,11 островов,17500,Пхукет,Острова,https://ezyvizit.com/11_ostrovov,"вт,сб"
479898294462,Симиланские острова 1 день,10600,Пхукет,Острова,https://ezyvizit.com/similan_island,"пн,вт,ср,чт,пт,сб,вс"
905855811862,Кхао Лак сафари,6000,Пхукет,Природа,https://ezyvizit.com/khaolak_safari,"пн,вт,ср,чт,пт,сб,вс"
258777878862,Пхи Пхи 2 дня,16900,Пхукет,На несколько дней;Природа,https://ezyvizit.com/phiphi2,"пн,вт,ср,чт,пт,сб,вс"
242063021412,Монстр Аквариум,2100,Паттайя,Природа,https://ezyvizit.com/catalog/tproduct/143701493642-monstr-akvarium,"пн,вт,ср,чт,пт,сб,вс"
620047250562,Провинция Пханг Нга и стеклянный мост,9600,Пхукет,Приключения,https://ezyvizit.com/phangnga_skywalk,"пн,вт,ср,чт,пт,сб,вс"
262421590972,Утреннее Приключение на Пхи Пхи,9200,Пхукет,Приключения,https://ezyvizit.com/utro_phiphi,"пн,вт,ср,чт,пт,сб,вс"
993489479002,5 жемчужин Андаманского моря,21200,Пхукет,На несколько дней;Приключения,https://ezyvizit.com/5pearls_of_andaman,"пн,вт,чт,сб"
307014905382,Остров Джеймса Бонда,12000,Пхукет,Природа;Приключения;Острова,https://ezyvizit.com/james_bond,"пн,вт,ср,чт,пт,сб,вс"
482137847722,Пхи Пхи 5 островов,12000,Пхукет,Приключения;Острова;Природа,https://ezyvizit.com/phiphi1,"пн,вт,ср,чт,пт,сб,вс"
202615165462,Тур в Непал на 3 дня,79000,Паттайя;Пхукет,,https://ezyvizit.com/nepal,"пн,вт,ср,чт,пт,сб,вс"
300115425262,Аренда катамарана Lagoon в Паттайе,57200,Паттайя,Острова,https://ezyvizit.com/katamaran-lagoon,"пн,вт,ср,чт,пт,сб,вс"
215158148952,Аренда катамарана Bali в Паттайе,79200,Паттайя,Острова,https://ezyvizit.com/katamaran-bali,"пн,вт,ср,чт,пт,сб,вс"
